Vendor ID,Vendor,Count
1074,Midmark ,7
1084,Mirek Wojtowicz ,7
1094,Modality Systems Ltd ,7
1100,Monarch Medical Technologies ,7
1111,Muhimbi ,7
1134,National Model ,7
1147,ndd Medical Technologies Inc. ,7
1153,Nero ,7
1173,NewSoft ,7
1176,NextDocs ,7
1203,Nox Medical ,7
1206,NSClient ,7
1207,NTIA ,7
1208,NTP Software ,7
1231,OIG ,7
1243,OnBase by Hyland ,7
1251,Open Health Tools ,7
1257,OpenBUGS ,7
1259,OpenGate Software Inc. ,7
1276,Ottobock ,7
1280,Pacific Northwest National Laboratory ,7
1294,Particular Software ,7
1303,Pegasystems ,7
1311,"Performance Logic, Inc. ",7
1321,Philippe PUECH ,7
1328,phpBB Limited ,7
1342,"Planview, Inc. ",7
1359,Prezi ,7
1363,ProcurePort ,7
1366,ProModel Corporation ,7
1377,Puppet Labs ,7
1403,Raxco Software ,7
1414,"Regenstrief Institute, Inc. ",7
1432,RightITnow ,7
1438,Rob de Veij ,7
1454,RouteMatch Software ,7
1476,Sakai Project ,7
1477,Salesforce.com ,7
1493,Scantron Corporation ,7
1505,Seagull Scientific ,7
1511,"Sencha, Inc. ",7
1528,Siemens AG ,7
1546,Smart-X Software Solutions Ltd. ,7
1566,Sonic Innovations ,7
1571,Sorenson Communications ,7
1604,StartStop ,7
1615,Steinberg ,7
1624,StrawberryPerl ,7
1649,Tadiran Telecom ,7
1673,Tevron ,7
1683,The Inkscape Team ,7
1693,The TOVA Company ,7
1694,The University of Sheffield ,7
1700,ThoughtWorks ,7
1724,TreeAge Software Inc. ,7
1735,Trivantis Corporation Inc. ,7
1750,Unify ,7
1765,Unlimited Technologies ,7
1779,Variphy ,7
1791,Verity Software House ,7
1793,Versoworks ,7
1803,Visage Imaging ,7
1838,Waveded ,7
1855,WhiteBox Software ,7
1878,Wondershare ,7
1893,XnSoft ,7
1896,Xstream ,7
1911,Zenoss Inc. ,7
8,AAMC ,6
61,Alertus Unified Facility Notification ,6
78,Altium ,6
